,OS: Windows 11 | Browser: Chrome 141 | Resolution: 1280x672 | Time: 29 Oct 2025 / 14:38:18  GMT-6

"#","Step","Data","Exp Result","XPath","cssSelector"
"1","Open website","https://joshu16.testrail.io/index.php?/admin/projects/edit/2","","",""
"2","Scroll down","","","",""
"3","Scroll up","","","",""
"4","Scroll down","","","",""
"5","Scroll up","","","",""
"6","Click on ""Save Project""","","","//button[@id='accept']","#accept"
"7","Click on ""Back to dashboard""","","","//a[@id='navigation-dashboard']","#navigation-dashboard"
"8","Scroll down","","","",""
"9","Click on ""Test Cases""","","","//div[@id='project-2']//a[@class='link'][normalize-space()='Test Cases']","body > div:nth-child(7) > div:nth-child(1) > div:nth-child(4) > div:nth-child(3) > div:nth-child(3) > div:nth-child(2) > div:nth-child(1) > div:nth-child(4) > div:nth-child(4) > div:nth-child(1) > div:nth-child(2) > div:nth-child(2) > a:nth-child(4)"
"10","Scroll down","","","",""
"11","Scroll up","","","",""
"12","Enter ""84839882"" into ""Phone Number""","84839882","","//div[@class='col-md-6 text-center b-right h-100']//form","body > div:nth-child(2) > section:nth-child(1) > div:nth-child(1) > div:nth-child(1) > form:nth-child(1) > div:nth-child(4) > input:nth-child(1)"
"13","Scroll down","","","//input[@placeholder='Phone Number']","input[placeholder='Phone Number']"
"14","Enter ""joshua.saborio.contacto@gmail.com"" into ""Email""","joshua.saborio.contacto@gmail.com","","//input[@name='newemail']","input[placeholder='Email'][name='newemail']"
"15","Enter ""Fabilu15"" into ""Username""","Fabilu15","","//input[@placeholder='Username']","input[placeholder='Username']"
"16","Click on ""Sign Up Sign up for a GeekQA and More Loyalty Rewards Account ""","","","//div[@class='col-md-6 text-center b-right h-100']//form","body > div:nth-child(2) > section:nth-child(1) > div:nth-child(1) > div:nth-child(1) > form:nth-child(1)"
"17","Enter ""Montero"" into ""First Name""","Montero","","//div[@class='col-md-6 text-center b-right h-100']//form","body > div:nth-child(2) > section:nth-child(1) > div:nth-child(1) > div:nth-child(1) > form:nth-child(1) > div:nth-child(7) > input:nth-child(1)"
"18","Enter ""Saborío"" into ""Last Name""","Saborío","","//div[@class='col-md-6 text-center b-right h-100']//form","body > div:nth-child(2) > section:nth-child(1) > div:nth-child(1) > div:nth-child(1) > form:nth-child(1) > div:nth-child(8) > input:nth-child(1)"
"19","Enter ""******"" into ""Password""","******","","//form[@action='https://testing.geekqa.net/public_html/public/index.php/customer']//input[@placeholder='Password']","body > div:nth-child(2) > section:nth-child(1) > div:nth-child(1) > div:nth-child(1) > form:nth-child(1) > div:nth-child(9) > input:nth-child(1)"
"20","Enter ""******"" into ""Confirm Password""","******","","//input[@placeholder='Confirm Password']","input[placeholder='Confirm Password']"
"21","Click on ""Sign Up""","","","//button[normalize-space()='Sign Up']","body > div:nth-child(2) > section:nth-child(1) > div:nth-child(1) > div:nth-child(1) > form:nth-child(1) > button:nth-child(12)"
"22","Click on ""Shared Test Steps""","","","//span[normalize-space()='Shared Test Steps']","body > div:nth-child(9) > div:nth-child(1) > div:nth-child(4) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(6) > a:nth-child(2) > span:nth-child(1)"
